Contract Number,Description,Start Date,End Date,Vendor Name,Total Amount,Amount Spent,Procurement Method,Trade Type,Category,Location,Contract Status
2330081,SOTOMAYOR HOUSES 2A - EXTERIOR RESTORATION AND ROOFING REPLACEMENT (MOVARIS #123620 - MEHTA P.),3/26/2024,3/25/2026,J&N CONSTRUCTION GROUP CORP,"$32,443,610.00",$0.00,SEALED BID,Decar,RF-ROOF.1CM,SOTOMAYOR HOUSES - 0222,Active
2332525,Human Resources - Inclusion of Employee Data in the Automated Payroll System - HUMANR063575,3/25/2024,3/24/2026,NYC OFFICE OF LABOR RELATIONS,"$2,007,341.00",$0.00,GOV_TO_GOV,Service,PS-PROFESSIONAL SERVICES OTHER.1CM,CITYWIDE DEVELOPMENTS,Active
2411699,Office of Safety & Security - Fire Guard Services in the Borough of Manhattan - SAFETY064146,3/22/2024,6/21/2024,ALLIANCE SECURITY GROUP LLC,"$500,000.00",$0.00,NON-COMP- Emergency,Service,SP-GUARD SERVICE.FIRE WATCH SERVICE,CITYWIDE DEVELOPMENTS,Active
2411908,"Special Repair Projects - Albany Houses Fire Job - MSA 2121005, SPECIA064093",3/21/2024,4/30/2025,BELFOR USA GROUP INC.,"$32,804.00",$0.00,MSA - Task Order Agreement,Service,PS-PROFESSIONAL SERVICES OTHER.1CM,ALBANY-0524,Active
2333267,A&CM Comprehensive Modernization - Construction Management as Agent Services in Connection with Comprehensive Modernization - ACMCOM062303,3/20/2024,3/19/2029,NAIK-VERTEX JV,"$37,500,000.00",$0.00,COMPETETIVE RFP,Service,PS-PROFESSIONAL SERVICES OTHER.1CM,COMPREHENSIVE MODERNIZATION (0905),Active
2335679,"SMPD_Materials_Plumbing Items, washers, nipples,gaskets,plugs RFQ 458029",3/20/2024,3/19/2029,ELITE SUPPLIERS INC,"$259,032.00",$0.00,SEALED BID,Materials,PLUMBING CMA.PLUMBING CMA,CityWide/L.I.C. Warehouse,Active
2331817,"SMD_ Material _ High Efficient Windows RFQ 423010,2",3/14/2024,3/13/2029,"INTUS WINDOWS, LLC","$35,011,315.00",$0.00,SEALED BID,Materials,CARPENTRY TRADE.WINDOWS,CITYWIDE DEVELOPMENTS,Active
2322807,"Comprehensive Modernization - Design & Construction Services Project # 1, St. Nicholas Houses - COMPRE060350",3/14/2024,7/21/2028,ST NICHOLAS REVITALIZATION PARTNERS LLC,"$477,040,000.00",$0.00,COMPETETIVE RFP,Service,PS-PROFESSIONAL SERVICES OTHER.1CM,ST NICHOLAS-0211,Active
2410735,"TEMPO - Bronx River Center Floor Refinish - MSA 2119796, TEMPO064053",3/13/2024,6/30/2024,BROWN POINT FACILITY MANAGEMENT SOLUTIONS LLC,"$39,985.00","$39,985.00",MSA - Task Order Agreement,Service,PS-PROFESSIONAL SERVICES OTHER.1CM,BRONX RIVER-0533,Active
2331261,IDIQ - JOC GENERAL CONSTRUCTION FOR CITY WIDE LOCATIONS (Movaris# 211634 - Reid M.),3/11/2024,3/10/2027,"JEMCO ELECTRICAL CONTRACTORS, INC.","$15,000,000.00",$0.00,SEALED BID,Decar,GR-GENERAL RENOVATION TYPE A.1CM,VARIOUS PROJECT-VARP,Active
2331255,IDIQ - JOC GENERAL CONSTRUCTION AT CITYWIDE LOCATIONS (Movaris#091943 - Reid M.),3/11/2024,3/10/2027,"JEMCO ELECTRICAL CONTRACTORS, INC.","$15,000,000.00",$0.00,SEALED BID,Decar,GR-GENERAL RENOVATION TYPE A.1CM,VARIOUS PROJECT-VARP,Active
2324679,Lehman Village-Boiler Replacement (07041-V. Romano),3/8/2024,3/8/2026,AWL INDUSTRIES INC,"$12,680,000.00",$0.00,SEALED BID,Decar,BL-BOILER REPLACEMENT.1CM,LEHMAN VILLAGE-0238,Active
2326693,Lead Hazard Control - Lead-Based Paint Visual Assessment Services in Dwelling Units and Building Interior Common Areas - LEADHA063157,3/7/2024,3/6/2026,TRC ENVIRONMENTAL CORPORATION,"$7,284,416.67",$0.00,COMPETETIVE RFP,Service,PS-PROFESSIONAL SERVICES OTHER.1CM,LEAD HAZARD CONTROL DEPARTMENT,Active
2329836,CITYWIDE-IDIQ CONTRACT FOR INSTALLATION OF V/C FLOOR TILES IN APTS (PROCUR062865_SP),3/6/2024,3/5/2027,JVR CONSTRUCTION CORP,"$249,999.99",$0.00,SMALL PURCHASE,Service,TL-TILE.1CM,VARIOUS PROJECT-VARP,Active
2329831,CITYWIDE-IDIQ CONTRACT FOR INSTALLATION OF V/C FLOOR TILES IN APTS (PROCUR062864_SP),3/6/2024,3/5/2027,"STEVEN PAUL DBA/CITY LINK BUILDERS, INC","$249,999.99",$0.00,SMALL PURCHASE,Service,TL-TILE.1CM,VARIOUS PROJECT-VARP,Active
2400838,Albany Houses Exigent Roof Repair,3/6/2024,3/6/2025,HENRY COMPANY LLC,"$654,000.00",$0.00,NON-COMP: EXIGENCY,Service,RF-ROOF.1CM,CPD-ADMINISTRATION,Active
2329829,CITYWIDE-IDIQ CONTRACT FOR INSTALLATION OF V/C FLOOR TILES IN APTS (PROCUR062864_SP),3/5/2024,3/4/2027,LEO BUILDERS CORP,"$249,999.99",$0.00,SMALL PURCHASE,Service,TL-TILE.1CM,VARIOUS PROJECT-VARP,Active
2329830,CITYWIDE-IDIQ CONTRACT FOR INSTALLATION OF V/C FLOOR TILES IN APTS (PROCUR062864_SP),3/5/2024,3/4/2027,N ARJUN CONSTRUCTION CORP,"$249,999.99",$0.00,SMALL PURCHASE,Service,TL-TILE.1CM,VARIOUS PROJECT-VARP,Active
2329838,CITYWIDE-IDIQ CONTRACT FOR INSTALLATION OF V/C FLOOR TILES IN APTS (PROCUR062865_SP),3/5/2024,3/4/2027,LEO BUILDERS CORP,"$249,999.99",$0.00,SMALL PURCHASE,Service,TL-TILE.1CM,VARIOUS PROJECT-VARP,Active
2335974,SMD_MATERIALS_KITCHEN_SINK RFQ# 451020,3/2/2024,3/1/2027,BIG APPLE SIGN CORP,"$5,644,386.00",$0.00,SEALED BID,Materials,PLUMBING AND HEATING.FIXTURES,CITYWIDE DEVELOPMENTS,Active
2404457,"Paint Admin- IDIQ Contract for Maint. Painting of Apts, Int & Ext. Public Space (S.Steverson-PAINTA060280)",3/1/2024,2/28/2026,SUNLAB CONTRACTORS INC.,"$400,000.00",$0.00,SEALED BID,Service,PD-PAINTING.1CM,CITYWIDE DEVELOPMENTS,Active
2404458,"Paint Admin- IDIQ Contract for Maint. Painting of Apts, Int & Ext. Public Space (S.Steverson-PAINTA060281)",3/1/2024,2/28/2026,SUN TRACK CORP,"$400,000.00",$0.00,SEALED BID,Service,PD-PAINTING.1CM,CITYWIDE DEVELOPMENTS,Active
2404453,"Paint Admin- IDIQ Contract for Maint. Painting of Apts, Int & Ext. Public Space (S.Steverson-PAINTA060397)",3/1/2024,2/28/2026,JASLEEN CONSTRUCTION CORP,"$400,000.00",$0.00,SEALED BID,Service,PD-PAINTING.1CM,CITYWIDE DEVELOPMENTS,Active
2404460,"Paint Admin- IDIQ Contract for Maint. Painting of Apts, Int & Ext. Public Space (S.Steverson-PAINTA060283).)",3/1/2024,2/28/2026,"SATGUR CONSTRUCTION, INC.","$400,000.00","$74,256.84",SEALED BID,Service,PD-PAINTING.1CM,CITYWIDE DEVELOPMENTS,Active
2404449,"Paint Admin- IDIQ Contract for Maint. Painting of Apts, Int & Ext. Public Space (S.Steverson-PAINTA060304).",3/1/2024,2/28/2026,JASLEEN CONSTRUCTION CORP,"$400,000.00",$0.00,SEALED BID,Service,PD-PAINTING.1CM,CITYWIDE DEVELOPMENTS,Active
2404455,"Paint Admin- IDIQ Contract for Maint. Painting of Apts, Int & Ext. Public Space (S.Steverson-PAINTA060279)",3/1/2024,2/28/2026,SUN TRACK CORP,"$400,000.00",$0.00,SEALED BID,Service,PD-PAINTING.1CM,CITYWIDE DEVELOPMENTS,Active
2404459,"Paint Admin- IDIQ Contract for Maint. Painting of Apts, Int & Ext. Public Space (S.Steverson-PAINTA060282)",3/1/2024,2/28/2026,SIMCO ENTERPRISES CORP,"$400,000.00",$0.00,SEALED BID,Service,PD-PAINTING.1CM,CITYWIDE DEVELOPMENTS,Active
2320493,Bulk Garbage Carting Service-Various Brooklyn East Develpments-Movaris #WASTEM060730,3/1/2024,2/28/2027,FILCO CARTING CORP.,"$2,226,468.75","$54,832.25",SEALED BID,Service,CA-CARTING.1CM,BROOKLYN PROPERTY MANAGEMENT,Active
2320500,Bulk Garbage Carting Services - Various Bronx North Developments-Movaris WASTEM060727,3/1/2024,2/28/2027,WASTE CONNECTIONS OF NEW YORK INC,"$4,921,500.00","$117,640.00",SEALED BID,Service,CA-CARTING.1CM,BRONX PROPERTY MANAGEMENT,Active
2320573,Various Staten Island Dev-Bulk Garbage Carting (Movaris #WASTEM060724),3/1/2024,2/28/2027,CENTURY WASTE SERVICES LLC,"$1,179,643.50","$28,086.75",SEALED BID,Service,CA-CARTING.1CM,QN/SI PROPERTY MANAGEMENT,Active
2330040,"Var & Citywide- IDIQ MAINTENANCE PAINTING OF APARTMENTS, INTERIOR AND EXTERIOR PUBLIC SPACE WORK INCLUDING STAIRWELL PAINTING (FRP AND SILICATE SYSTEMS (PROCUR063377)",3/1/2024,2/28/2025,MOONLITE PAINTING CO. INC.,"$250,000.00",$0.00,SMALL PURCHASE,Service,PD-PAINTING.1CM,VARIOUS PROJECT-VARP,Active
2330045,"Var & Citywide- IDIQ MAINTENANCE PAINTING OF APARTMENTS, INTERIOR AND EXTERIOR PUBLIC SPACE WORK INCLUDING STAIRWELL PAINTING (FRP AND SILICATE SYSTEMS (PROCUR063377)",3/1/2024,2/28/2025,MOONLITE PAINTING CO. INC.,"$250,000.00",$0.00,SMALL PURCHASE,Service,PD-PAINTING.1CM,VARIOUS PROJECTS-0976,Active
2330050,"Var & Citywide- IDIQ MAINTENANCE PAINTING OF APARTMENTS, INTERIOR AND EXTERIOR PUBLIC SPACE WORK INCLUDING STAIRWELL PAINTING (FRP AND SILICATE SYSTEMS (PROCUR063377)",3/1/2024,2/28/2025,MOONLITE PAINTING CO. INC.,"$250,000.00",$0.00,SMALL PURCHASE,Service,PD-PAINTING.1CM,VARIOUS PROJECTS-0976,Active
2330055,"Var & Citywide- IDIQ MAINTENANCE PAINTING OF APARTMENTS, INTERIOR AND EXTERIOR PUBLIC SPACE WORK INCLUDING STAIRWELL PAINTING (FRP AND SILICATE SYSTEMS (PROCUR063377)",3/1/2024,2/28/2025,MOONLITE PAINTING CO. INC.,"$250,000.00",$0.00,SMALL PURCHASE,Service,PD-PAINTING.1CM,VARIOUS PROJECT-VARP,Active
2330014,"Var & Citywide- IDIQ MAINTENANCE PAINTING OF APARTMENTS, INTERIOR AND EXTERIOR PUBLIC SPACE WORK INCLUDING STAIRWELL PAINTING (FRP AND SILICATE SYSTEMS (PROCUR063374)",3/1/2024,2/28/2025,MOONLITE PAINTING CO. INC.,"$249,999.99","$249,975.62",SMALL PURCHASE,Service,PD-PAINTING.1CM,VARIOUS PROJECT-VARP,Active
2330060,"Var & Citywide- IDIQ MAINTENANCE PAINTING OF APARTMENTS, INTERIOR AND EXTERIOR PUBLIC SPACE WORK INCLUDING STAIRWELL PAINTING (FRP AND SILICATE SYSTEMS (PROCUR063379)",3/1/2024,2/28/2025,MOONLITE PAINTING CO. INC.,"$250,000.00",$0.00,SMALL PURCHASE,Service,PD-PAINTING.1CM,VARIOUS PROJECT-VARP,Active
2330065,"Var & Citywide- IDIQ MAINTENANCE PAINTING OF APARTMENTS, INTERIOR AND EXTERIOR PUBLIC SPACE WORK INCLUDING STAIRWELL PAINTING (FRP AND SILICATE SYSTEMS (PROCUR063379)",3/1/2024,2/28/2025,MOONLITE PAINTING CO. INC.,"$250,000.00",$0.00,SMALL PURCHASE,Service,PD-PAINTING.1CM,VARIOUS PROJECT-VARP,Active
2330019,"Var & Citywide- IDIQ MAINTENANCE PAINTING OF APARTMENTS, INTERIOR AND EXTERIOR PUBLIC SPACE WORK INCLUDING STAIRWELL PAINTING (FRP AND SILICATE SYSTEMS (PROCUR063375)",3/1/2024,2/28/2025,MOONLITE PAINTING CO. INC.,"$249,999.99","$158,363.44",SMALL PURCHASE,Service,PD-PAINTING.1CM,VARIOUS PROJECT-VARP,Active
2330024,"Var & Citywide- IDIQ MAINTENANCE PAINTING OF APARTMENTS, INTERIOR AND EXTERIOR PUBLIC SPACE WORK INCLUDING STAIRWELL PAINTING (FRP AND SILICATE SYSTEMS (PROCUR063375)",3/1/2024,2/28/2025,MOONLITE PAINTING CO. INC.,"$249,999.99","$19,650.28",SMALL PURCHASE,Service,PD-PAINTING.1CM,VARIOUS PROJECT-VARP,Active
2330029,"Var & Citywide- IDIQ MAINTENANCE PAINTING OF APARTMENTS, INTERIOR AND EXTERIOR PUBLIC SPACE WORK INCLUDING STAIRWELL PAINTING (FRP AND SILICATE SYSTEMS (PROCUR063376)",3/1/2024,2/28/2025,MOONLITE PAINTING CO. INC.,"$250,000.00",$0.00,SMALL PURCHASE,Service,PD-PAINTING.1CM,VARIOUS PROJECT-VARP,Active
2330034,"Var & Citywide- IDIQ MAINTENANCE PAINTING OF APARTMENTS, INTERIOR AND EXTERIOR PUBLIC SPACE WORK INCLUDING STAIRWELL PAINTING (FRP AND SILICATE SYSTEMS (PROCUR063376)",3/1/2024,2/28/2025,MOONLITE PAINTING CO. INC.,"$250,000.00",$0.00,SMALL PURCHASE,Service,PD-PAINTING.1CM,VARIOUS PROJECT-VARP,Active
2404824,"Paint Admin- IDIQ Contract for Maint. Painting of Apts, Int & Ext. Public Space (S.Steverson-PAINTA060303).",3/1/2024,3/28/2026,POPULAR SERVICES INC,"$400,000.00",$0.00,SEALED BID,Service,PD-PAINTING.1CM,CITYWIDE DEVELOPMENTS,Active
2404447,"Paint Admin- IDIQ Contract for Maint. Painting of Apts, Int & Ext. Public Space (S.Steverson-PAINTA060300)",3/1/2024,2/28/2026,SUNLAB CONTRACTORS INC.,"$400,000.00",$0.00,SEALED BID,Service,PD-PAINTING.1CM,CITYWIDE DEVELOPMENTS,Active
2329826,CITYWIDE-IDIQ CONTRACT FOR INSTALLATION OF V/C FLOOR TILES IN APTS (PROCUR062864_SP),2/28/2024,2/27/2027,JVR CONSTRUCTION CORP,"$249,999.99",$0.00,SMALL PURCHASE,Service,TL-TILE.1CM,VARIOUS PROJECT-VARP,Active
2320495,Bulk Garbage Carting Services-Various Brooklyn West Developments- Movaris-WASTEM060729,2/28/2024,2/27/2027,WASTE CONNECTIONS OF NEW YORK INC,"$3,870,300.00","$116,788.00",SEALED BID,Service,CA-CARTING.1CM,BROOKLYN PROPERTY MANAGEMENT,Active
2408390,"Special Repair Projects - Jefferson Houses Fire Job - MSA 2121005, SPECIA063943",2/27/2024,4/30/2025,BELFOR USA GROUP INC.,"$19,099.00","$19,099.00",MSA - Task Order Agreement,Service,PS-PROFESSIONAL SERVICES OTHER.1CM,JEFFERSON HOUSE-0219,Active
2408395,"Special Repair Projects - Mitchel Houses Fire Job - MSA 2121005, PO 2408395",2/27/2024,4/30/2025,BELFOR USA GROUP INC.,"$52,971.00","$37,713.43",MSA - Task Order Agreement,Service,PS-PROFESSIONAL SERVICES OTHER.1CM,BRONX-MITCHEL-C249,Active
2328273,CITYWIDE-IDIQ CONTRACT FOR INSTALLATION OF V/C FLOOR TILES IN APTS (PROCUR062861_SP),2/27/2024,2/26/2027,"STEVEN PAUL DBA/CITY LINK BUILDERS, INC","$249,999.99","$8,404.75",SMALL PURCHASE,Service,TL-TILE.1CM,VARIOUS PROJECT-VARP,Active
2320499,Bulk Garbage Carting Services-Various Brooklyn South Developments- Movaris-WASTEM060728,2/27/2024,2/26/2027,WASTE CONNECTIONS OF NEW YORK INC,"$3,519,600.00","$95,113.00",SEALED BID,Service,CA-CARTING.1CM,BROOKLYN PROPERTY MANAGEMENT,Active
2320502,Bulk Garbage Carting Services-Various Queens Developments- Movaris-WASTEM06075,2/26/2024,2/25/2027,WASTE CONNECTIONS OF NEW YORK INC,"$2,740,500.00","$88,392.00",SEALED BID,Service,CA-CARTING.1CM,QN/SI PROPERTY MANAGEMENT,Active
2330235,Treasury Operations - Temporary Relocation Assistance Prepaid Cards for Residential Lead Remediation - TREASU063494,2/23/2024,2/22/2026,BLACKHAWK ENGAGEMENT SOLUTIONS INC,"$50,000.00",$0.00,NON-COMP: EXIGENCY,Service,PS-PROFESSIONAL SERVICES OTHER.1CM,NYCHA TREASURY-0977,Active
2310231,VP & Chief Financial Officer - Financial Consulting Services - VPCHIE062505,2/22/2024,7/31/2024,"BDO USA, PC","$150,000.00",$562.50,GOV_TO_GOV,Service,PS-PROFESSIONAL SERVICES OTHER.1CM,CITYWIDE DEVELOPMENTS,Active
2335680,"SMPD_Materials Plumbing Items, washers, nipples, gaskets, plugs, Five Boroughs",2/16/2024,2/15/2029,BIG APPLE SIGN CORP,"$424,925.00","$6,326.83",SEALED BID,Materials,PLUMBING CMA.PLUMBING CMA,CityWide/L.I.C. Warehouse,Active
2407232,"Manhattan Property Management - Manhattanville Houses Various Jobs at 1430 Amsterdam Avenue Apt. 14J - MSA 2119796, PROPER063919",2/16/2024,6/30/2024,BROWN POINT FACILITY MANAGEMENT SOLUTIONS LLC,"$3,381.00",$0.00,MSA - Task Order Agreement,Service,PS-PROFESSIONAL SERVICES OTHER.1CM,MANHATTANVILLE-0429,Active
2407233,"Manhattan Property Management - Manhattanville Houses Various Jobs at 1420 Amsterdam Apt. 9A - MSA 2119796, PROPER063918",2/16/2024,6/30/2024,BROWN POINT FACILITY MANAGEMENT SOLUTIONS LLC,"$9,387.50",$0.00,MSA - Task Order Agreement,Service,PS-PROFESSIONAL SERVICES OTHER.1CM,MANHATTANVILLE-0429,Active
2407238,"Special Repair Projects - Lincoln Houses Fire Job - MSA 2121005, SPECIA063920",2/16/2024,4/30/2025,BELFOR USA GROUP INC.,"$9,701.00","$9,701.00",MSA - Task Order Agreement,Service,PS-PROFESSIONAL SERVICES OTHER.1CM,ABRAHAM LINCOLN-0513,Active
2335681,"SMPD_Materials Plumbing Items, washers, nipples, gaskets, plugs ,Five Boroughs",2/15/2024,2/14/2029,KRASMAN SUPPLY CORPORATION DBA/DAYTON SUPPLY COMPANY,"$1,046,724.00","$24,622.97",SEALED BID,Materials,PLUMBING CMA.PLUMBING CMA,CityWide/L.I.C. Warehouse,Active
2407157,"Manhattan Property Management - Manhattanville Houses Various Jobs in 1430 Amsterdam Apt. 13F - MSA 2119796, PROPER063914",2/15/2024,6/30/2024,BROWN POINT FACILITY MANAGEMENT SOLUTIONS LLC,"$10,125.00",$0.00,MSA - Task Order Agreement,Service,PS-PROFESSIONAL SERVICES OTHER.1CM,MANHATTANVILLE-0429,Active
2407172,"Manhattan Property Management - Manhattanville Houses Various Jobs at 3250 Broadway Apt. 16F - MSA 2119796, PROPER063913",2/15/2024,6/30/2024,BROWN POINT FACILITY MANAGEMENT SOLUTIONS LLC,"$7,750.00",$0.00,MSA - Task Order Agreement,Service,PS-PROFESSIONAL SERVICES OTHER.1CM,MANHATTANVILLE-0429,Active
2407175,"Manhattan Property Management - Manhattanville Houses Various Jobs at 3250 Broadway Apt. 12C - MSA 2119796, PROPER063916",2/15/2024,6/30/2024,BROWN POINT FACILITY MANAGEMENT SOLUTIONS LLC,"$6,375.00",$0.00,MSA - Task Order Agreement,Service,PS-PROFESSIONAL SERVICES OTHER.1CM,MANHATTANVILLE-0429,Active
2407177,"Manhattan Property Management - Manhattanville Houses Various Job at 3250 Broadway Apt. 9E - MSA 2119796, PROPER063915",2/15/2024,6/30/2024,BROWN POINT FACILITY MANAGEMENT SOLUTIONS LLC,"$11,000.00",$0.00,MSA - Task Order Agreement,Service,PS-PROFESSIONAL SERVICES OTHER.1CM,MANHATTANVILLE-0429,Active
2407026,"Manhattan Property Management - Dehostos Houses TA Meeting Room New Handicap Bathroom - MSA 2119796, PROPER063904",2/15/2024,6/30/2024,BROWN POINT FACILITY MANAGEMENT SOLUTIONS LLC,"$50,583.39","$50,583.39",MSA - Task Order Agreement,Service,PS-PROFESSIONAL SERVICES OTHER.1CM,DE HOSTOS CC-C259,Active
2326782,Lead Hazard Control - Lead-Based Paint Visual Assessment Services in Dwelling Units and Building Interior Common Areas - LEADHA063156,2/14/2024,2/13/2026,HAMALIA RESTORATION CORP,"$7,284,416.67",$0.00,RFP – DB,Service,PS-PROFESSIONAL SERVICES OTHER.1CM,LEAD HAZARD CONTROL DEPARTMENT,Active
2318782,VP Environmental Health & Safety - Medical and Other Professional Services - VPENVI063075,2/13/2024,2/12/2027,PARTNERS IN SAFETY INC.,"$250,000.00",$0.00,SMALL PURCHASE,Service,PS-PROFESSIONAL SERVICES OTHER.1CM,ENVIRONMENTAL HEALTH & SAFETY (0875),Active
2329230,LINCOLN HOUSES - ROOFING REPLACEMENT AND ROOFTOP STRUCTURE RENOVATION (MOVARIS #142811 - MEHTA PATHIK),2/12/2024,2/11/2026,AMB CONSTRUCTION INC,"$19,219,709.60",$0.00,SEALED BID,Decar,RF-ROOF.1CM,ABRAHAM LINCOLN-0513,Active
2329632,A&CM Comprehensive Modernization - Construction Management as Agent Services in Connection with Comprehensive Modernization - ACMCOM062303,2/9/2024,2/8/2029,JMT TY LIN JV,"$37,500,000.00",$0.00,COMPETETIVE RFP,Service,PS-PROFESSIONAL SERVICES OTHER.1CM,COMPREHENSIVE MODERNIZATION (0905),Active
2400395,"SMD_Materials_ Fuels And Lubricants ,Oil, Hydraulic Fluid, Antifreeze RFQ 429000",2/8/2024,2/7/2029,SUPREME RESELLER'S INC,"$6,742,560.60",$0.00,SEALED BID,Materials,FUELS AND LUBRICANTS.LUBRICANTS,CityWide/L.I.C. Warehouse,Active
2329091,A&CM Comprehensive Modernization - Construction Management as Agent Services in Connection with Comprehensive Modernization - ACMCOM062303,2/8/2024,2/7/2029,LIRO-HILL JOINT VENTURE II,"$37,500,000.00",$0.00,COMPETETIVE RFP,Service,PS-PROFESSIONAL SERVICES OTHER.1CM,COMPREHENSIVE MODERNIZATION (0905),Active
2400394,"SMD_Materials_ Fuels And Lubricants ,Oil, Hydraulic Fluid, Antifreeze RFQ 429000",2/7/2024,2/6/2029,"LUBENET, LLC","$1,132,650.10","$1,721.80",SEALED BID,Materials,FUELS AND LUBRICANTS.LUBRICANTS,CityWide/L.I.C. Warehouse,Active
2404467,"RFQ-458019,1 SMPD_PLUMBING DIVERTER, SPOUT, VALVE",2/7/2024,2/6/2029,BIG APPLE SIGN CORP,"$359,089.69","$47,457.24",SEALED BID,Materials,PLUMBING CMA.PLUMBING CMA,CityWide/L.I.C. Warehouse,Active
2327236,A&CM Comprehensive Modernization - Construction Management as Agent Services in Connection with Comprehensive Modernization - ACMCOM062303,2/6/2024,2/5/2029,"APTIM ENGINEERING NEW YORK, PC","$37,500,000.00",$0.00,COMPETETIVE RFP,Service,PS-PROFESSIONAL SERVICES OTHER.1CM,COMPREHENSIVE MODERNIZATION (0905),Active
2327237,A&CM Comprehensive Modernization - Construction Management as Agent Services in Connection with Comprehensive Modernization - ACMCOM062303,2/6/2024,2/5/2029,TDX CONSTRUCTION CORPORATION,"$37,500,000.00",$0.00,COMPETETIVE RFP,Service,PS-PROFESSIONAL SERVICES OTHER.1CM,COMPREHENSIVE MODERNIZATION (0905),Active
2327834,A&CM Comprehensive Modernization - Construction Management as Agent Services in Connection with Comprehensive Modernization - ACMCOM062303,2/6/2024,2/5/2029,CSA - GANNETT FLEMING JOINT VENTURE,"$37,500,000.00",$0.00,COMPETETIVE RFP,Service,PS-PROFESSIONAL SERVICES OTHER.1CM,COMPREHENSIVE MODERNIZATION (0905),Active
2328199,MILL BROOK-ROOFING REPLACEMENT AND ROOFTOP STRUCTURE RENOVATON-155711,2/6/2024,4/29/2025,"ROMA SCAFFOLDING, INC.","$8,711,000.00",$0.00,SEALED BID,Decar,RF-ROOF.1CM,MILL BROOK-0570,Active
2327235,A&CM Comprehensive Modernization - Construction Management as Agent Services in Connection with Comprehensive Modernization - ACMCOM062303,2/6/2024,2/5/2029,STV CONSTRUCTION INC,"$37,500,000.00",$0.00,COMPETETIVE RFP,Service,PS-PROFESSIONAL SERVICES OTHER.1CM,COMPREHENSIVE MODERNIZATION (0905),Active
